transcript_id	miracidia	sporocyst_2d_invitro	sporocyst_1d_invivo	sporocyst_3d_invivo	sporocyst_shedder_invivo	cercariae	somule_3h	somule_24h	adult_m_21d	adult_f_21d	adult_m_28d	adult_f_28d	adult_m_38d	adult_f_38d
Smp_063390.4	1.15	0.29	0	0	0	1.19	0.3	0.27	0.41	0.35	0.3	0.24	0.17	0.37
Smp_063420.1	1706.39	2895.69	560.68	825.07	341.55	274.25	336.44	395.35	394.14	359.2	376	334.59	672.04	300.83
Smp_063500.1	6.27	8.52	26.89	34.39	27.13	23.7	66.44	56.2	38.01	38.61	38.16	41.85	26.14	46.66
Smp_063520.1	5.6	10.48	10.62	9.93	2.53	0	0.54	0.14	0.81	0.33	4.09	1.16	12.09	0.71
Smp_063530.1	0.76	9.44	185.58	123.49	217.72	2.41	1.69	3.79	31.49	28.39	53.18	39.34	78.1	41.32
Smp_063530.2	3.52	20.37	129.63	196.15	271.09	2.99	6.8	40.55	372.68	428.02	657.72	613.27	1029.58	621.78
Smp_063540.1	28.48	44.6	72.49	68.96	89.29	16.85	38.05	47.38	50.06	51.83	47.08	49.96	62.77	57.16
Smp_063540.2	10.01	10.92	2.17	0.86	2.49	14.03	12.08	7.19	8.65	7.89	8.93	9.12	5.4	6.28
Smp_063580.1	75.42	54.77	170.13	96.14	129.78	198.26	136.34	92.08	105.45	98.79	111.08	120.35	148.89	153.3
Smp_063630.1	5.62	1.63	15.64	3.81	9.59	2.49	0.38	0.93	6.8	5.05	8.69	6.63	15.95	7.33
Smp_063630.2	0.06	0.42	1.49	0	2.87	0.52	0	0.63	1.61	1.24	1.86	2.13	4.17	2.08
Smp_063640.1	128.91	315.6	114.99	95.72	138.1	63.31	130.66	287.95	301.3	314.9	284.58	299.1	215.41	285.19
Smp_063650.1	289.12	215.59	74.75	86.4	67.35	60.73	81.62	65.11	66.21	64.7	65.51	68.23	111.78	82.78
Smp_063670.1	92.36	80.32	34.85	36.4	21.56	99.26	44.46	50.04	55.8	50.26	49.19	49.4	25.12	45.29
Smp_063670.2	5.19	4.15	23.05	31.65	46.64	14.96	32.45	36.24	19.22	14.74	15.58	14.52	31.57	15.52
Smp_063670.3	2.29	1.61	10.57	3.04	8.32	2.83	16.64	16.34	11.43	12.42	14.18	13.93	5.84	11.88
Smp_063680.1	4.43	1.26	3.42	3.47	9.06	1.98	3.33	6	19.62	13.49	8.67	8.04	2.73	3.55
Smp_063830.1	167.05	227.49	66.66	105.64	51.08	55.5	104.66	76.09	97.8	95.45	98.54	93.37	99.57	84.91
Smp_064010.1	12.14	17.15	9.41	7.97	7.15	13.86	35.56	29.96	34.35	27.61	26.76	24.68	17.96	25.05
Smp_064020.1	169.42	111.46	0	43.33	30.93	63.65	35.53	31.88	42.81	37.06	36.07	37.28	20.97	32.28
Smp_064020.2	43.7	40.85	37.02	0	9.97	26.38	36.92	36.47	15.97	18.38	12.4	11.4	7.3	15.29
Smp_064030.1	531.55	278.97	93.76	86.96	159.04	495.18	292.39	124.97	98.55	97.81	97.04	99.13	187.63	142.35
Smp_064040.1	436.61	310.99	73.83	87.65	42.93	239.68	82.84	72.2	68.54	74.34	100.49	109.88	91.15	121.14
Smp_064050.1	466.2	758.3	127.19	248.45	92.38	127.66	64.07	64.56	127.73	106.59	106.06	99.71	157.82	100.54
Smp_064150.1	133.75	301.92	52.58	64.18	41.46	114.33	102.55	128.33	122.67	119.14	136.02	141.5	218.26	161.98
Smp_064240.1	108.85	147.63	49.26	53.24	52.57	33.39	73.59	69.16	75.54	80.88	83.85	92.69	61.34	95.85
Smp_064250.1	57.63	32.48	10.07	13.49	9.42	31.16	44.17	30.49	14.28	12.81	12.27	10.81	9.92	10
Smp_064280.1	11.84	13.13	59.68	77.09	50.06	11.94	24.43	19.38	31.37	32.84	31	33.1	46.52	30.6
Smp_064320.1	186.3	132.36	56.37	97.54	72.78	152.96	55.97	64.86	76.94	64.63	56.31	59.83	81	83.98
Smp_064320.2	91.58	127.83	82.35	31.5	118.1	77.75	77.38	95.78	43.2	40.84	37.15	31.81	57.5	34.29
Smp_064330.1	82.98	100.18	36.47	52.51	92.92	23.03	15.79	3.82	27.63	30.36	26.94	27.51	56.68	31.17
Smp_064350.1	179.43	152	99.07	66.51	94.96	89.79	160.23	185.99	158.1	177.74	211.21	220.61	303.49	211.84
Smp_064360.1	869.08	597.99	194.04	255.64	215	118.18	79.1	80.32	148.62	117.43	125.45	117.6	248.22	113.48
Smp_064380.1	2.16	1.77	7.41	0	6.99	6.51	14.85	19.67	14.78	9.65	17.09	15.71	20.51	7.05
Smp_064380.2	64.64	61.92	169.26	122.26	137.49	56.55	51.27	42.18	93.78	92.39	94.33	80.1	172.46	78.08
Smp_064380.3	4.28	3.42	3.06	4.23	3.04	6.98	10.01	8.14	8.74	6.08	8.28	7.98	3.49	3
Smp_064380.4	67.6	91.09	0	8.07	2.25	1.98	4.33	0.92	7.79	3.99	6.85	7.98	2.12	2.04
Smp_064390.1	187.14	140.48	64.58	67.2	62.44	89.69	74.7	44.2	37.66	34.15	32.6	31.21	50.51	37.44
Smp_064400.1	191.27	142.18	46.64	44.82	44.83	90.78	118.91	68.39	40.03	39.15	27.48	25.85	52.22	42.48
Smp_064430.1	34.14	14.72	50.72	30.8	222.44	20.72	47.04	31.2	131.23	167.86	145.5	187.64	56.61	191.91
Smp_064460.1	11.76	6.95	5.54	11.4	17.08	14.44	9.51	2.31	0.77	1.09	2.22	2.59	2.84	1.31
Smp_064500.1	129.21	105.55	49.59	60.98	65.86	104.12	53.89	35.37	35.66	36.56	37.26	40.46	59.03	42.42
Smp_064500.2	59.62	38.59	46.41	40.95	22.62	25.98	28.29	14.96	9.08	9.57	9.19	9.35	12.79	9.94
Smp_064510.1	207.44	206.57	147.2	170.67	102.79	142.35	115.19	58.37	62.7	55.07	61.07	57.27	89.83	53.41
Smp_064520.1	98.48	104.04	38.72	49.34	27.93	16.29	33.77	30.35	29.27	28.14	33.53	30.51	62.89	36.96
Smp_064590.1	337.7	280.56	43.06	39.31	21.21	107.32	61.74	33.84	29.56	24.1	25.25	24.45	27.32	35.71
Smp_064590.2	1109.58	1279.23	142.16	196.7	126.67	219.51	190.77	112.89	122.09	108.22	88.57	86.42	127.49	107.29
Smp_064590.3	337.7	280.56	43.06	39.31	21.21	107.32	61.74	33.84	29.56	24.1	25.25	24.45	27.32	35.71
Smp_064600.1	15.8	22.49	60.04	59.81	27.26	30.15	28.43	54.22	38.21	41.1	38.65	33.7	83.54	42.14
Smp_064640.1	153.65	158.7	99.76	116.4	78.12	64	104.32	70.08	54.2	51.4	55.22	49.78	69.93	45.95
Smp_064650.1	102.41	96.78	32.65	35.24	31.64	34.58	40.45	47.27	48.99	41.48	38.94	36.62	51.13	45.2
Smp_064750.1	13.14	6.07	0	12.12	0	3.82	1.33	3.54	8.31	6.72	5.86	7.44	3.88	8.55
Smp_064750.2	21.93	53.09	17.27	7.46	13.29	60.62	42.54	36.66	25.42	29.32	29.59	33.94	10.01	36.24
Smp_064800.1	169.21	150.87	59.72	74.74	49.28	53.23	63.63	46.25	37.01	35.58	34.67	36.26	60.96	41.52
Smp_064860.1	4157.83	3230.4	658.54	833.03	476.72	369.72	355.29	795.09	598.76	628.77	579.54	574.58	886.8	588.99
Smp_064870.1	153.91	144.71	62.65	67.43	74.63	113.69	110.88	71.76	86.84	80.07	77.15	77.38	86.39	82.06
Smp_064950.1	126.12	116.53	164.51	159.6	248.56	381.26	270.99	225.3	184.99	231.51	245.72	292.61	184.79	321.75
Smp_065060.1	74.66	66.53	52.81	31.77	42.41	14.48	8.43	14.16	52.17	43.41	39.27	37.59	32.04	29.27
Smp_065060.2	5.83	5.36	0	0	5.55	5.22	1.62	5.12	3.99	4.18	3.39	3.52	2.96	3.12
Smp_065120.1	95.06	133.02	152.86	165.63	97.8	49.99	89.23	70.01	49.44	48.48	49.45	46.36	94.06	49.73
Smp_065130.1	6.5	7.88	6.45	6	9.92	9.29	8.07	12.57	23.84	25.04	27.53	27.3	21.24	24.55
Smp_065130.2	0.15	0.38	1.08	0	0.25	1.18	0.55	3.64	2.68	2.84	1.75	1.66	0.91	1.49
Smp_065130.3	0	0.09	16.28	8.65	26.14	2.59	1.21	4.46	5.99	5.67	4.19	4.17	33.76	9.67
Smp_065130.4	0	0	0	0	0	0	0.54	0	0.37	0.13	0	0.45	1	0.13
Smp_065150.1	142.37	261.25	108.56	140.38	74.44	3.96	7.93	9.19	58.13	42.83	34.96	21.29	101.8	14.3
Smp_065160.1	3.57	2.58	5.87	5.34	9.1	12.53	7.38	4.73	3.46	3.19	3.26	3.26	3.13	2.16
Smp_065160.2	11.86	9.6	12.14	13.06	11.64	5.31	6.12	6.42	6.9	6.99	7.23	6.58	14.76	6.64
Smp_065170.1	85.92	126.44	168.79	210.63	96.84	53.08	46.86	44.01	55.47	50.42	49.39	51.42	109.45	53.62
Smp_065180.1	38.1	89.08	32.26	32.61	32.1	33.98	21.76	29.93	48.9	74.13	70.98	89.48	25.76	83.66
Smp_065190.1	10.39	10.02	23.58	19.59	24.8	11.85	12.59	14.25	28.78	27.04	30.87	28.11	67.3	29.92
Smp_065210.1	6.01	135.25	82.14	41.42	225.61	2.38	2.1	27.09	159.34	209.82	189.71	241.09	107.79	242.48
Smp_065240.1	186.91	45.44	31.19	31.41	21.94	46.77	28.15	5.78	18.98	18.62	18.5	19.57	17.71	16.1
Smp_065290.1	11.26	7.77	11.11	7.18	18.72	18.18	8.68	18.66	34.05	42.18	31.53	37.08	7.98	31.36
Smp_065370.1	0	0	1.8	0	1.42	0	0	11.35	10.58	11.78	12.66	14.2	5.86	12.87
Smp_065370.2	0	0	0	0	2.78	0	2.7	11.49	7.2	9.2	8.25	9.68	2.56	9.17
Smp_065370.3	7.04	2.23	0	2.64	23.5	1.11	10.49	16.12	25.39	30.58	33.37	44.07	20.36	49.22
Smp_065420.1	7.69	26.83	30.87	79.99	10.89	12.15	4.04	6.47	15.54	16.33	9.89	12.43	9.68	10.72
Smp_065420.2	53.38	50.09	47.54	0.33	44.72	19.52	22.92	29.41	39.15	32.21	32.59	31.4	32.86	32.14
Smp_065470.1	39.76	28.31	108.33	108.9	106.59	316.8	165.49	104.75	162.43	200.46	222.71	244.45	282.44	255.45
Smp_065470.2	2.07	1.39	7.43	14.32	14.32	67.01	9.34	9.83	21.55	20.72	17.38	19.6	16.42	19.86
Smp_065530.1	0.11	0.04	0	0	0.32	0	0.69	0.02	0.17	0.14	8.8	1.67	53.12	0.32
Smp_065580.1	1011.64	1035.13	196.5	191.18	273.35	361.52	201.39	152.37	236.35	200.71	211.24	199.55	270.54	193.61
Smp_065610.1	423.65	727.65	146.23	140.25	189.26	1177.95	847.82	572.14	754.87	874.01	1039.33	1218.73	688.88	1334.14
Smp_065770.1	44.63	42.28	29.33	50.32	59.12	30.57	61.72	59.82	46.19	46.73	46.45	50.31	81.5	56.92
Smp_065770.2	8.04	4.21	0	3.37	0	1.58	6.5	5.69	8.88	8.13	9.26	9.39	8.18	7.88
Smp_065770.3	3.13	4.81	3.92	0	7.65	11.21	15.9	5.78	0.93	0.85	1.78	1.25	0.91	0.99
Smp_065810.1	20.59	21.65	10.04	12.88	10.47	24.76	14.49	20.94	11.24	7.49	7.48	6.46	7.19	6.09
Smp_065840.1	130.03	186	43	48.35	36.26	77.9	55.2	58.58	44.33	34.98	35.41	28.67	28.87	24.42
Smp_065890.1	27.42	18.54	76.53	74	53.4	56.8	158.7	130.09	84.57	96.57	107.66	108.88	106.02	125.56
Smp_065980.1	78.4	136.37	137.03	135.15	106.64	49.39	59.39	47.79	120.6	125.03	112.29	114.13	134.12	108.51
Smp_066050.1	3.39	1.48	2.67	1.02	39.4	12.13	7.85	18.07	6.68	6.47	3.95	3.64	2.5	3.51
Smp_066200.1	25.15	21.12	74.33	71.54	75.83	30.31	15.16	3.82	27.67	27.93	28.98	28.05	51.84	27.12
Smp_066260.1	90.44	82.93	87.65	111.12	82.46	20.21	13.33	28.81	35.68	25.36	25.34	17.6	52.33	14.86
Smp_066330.1	42.33	60.07	40.26	53.84	29.58	22.02	38.78	30.09	29.3	30.33	27.16	22.74	36.93	23.9
Smp_066330.2	0	0	0	0	0.37	1.27	0.22	0	0	0	0	0	0.2	0
Smp_066330.3	8.02	13.55	3	1.64	1.5	22.89	14.87	11.42	4.98	3.25	6.24	5.76	1.02	1.47
Smp_066340.1	88.8	103.34	18.75	26.53	11.34	28.77	20.07	14.84	21.9	20.39	23.12	21.9	32.07	25.91
Smp_066410.1	108.89	217.89	99.04	92.55	88.25	94.94	39.03	47.78	106.59	132.67	122.21	136.44	118.17	142.95
Smp_066410.2	22.71	24.71	49.32	34.95	51.06	100.17	77.78	72.97	47.55	68.46	51.79	65.71	22.3	68.08
Smp_066430.1	13.64	29.97	34.8	19.26	34.55	18.76	26.37	14.74	37.18	56.58	44.73	54.15	33.54	47.37
Smp_066480.1	52.23	52.63	73.56	85.74	75.88	40.59	33.08	17.88	51.52	56.88	46.57	45.11	70.97	57.31
Smp_066520.1	24.57	0.46	2.05	3.53	5.1	1.07	0.04	0.02	2.24	2.08	0.98	1.25	0.53	0.56
Smp_066590.1	8.06	29.04	504.09	640.89	435.68	337.34	293.38	74.32	195.69	196.03	163.69	143.78	396.69	120.61
Smp_066590.2	92.12	53.07	479.04	398.15	487.05	116.27	142.97	112.65	228.93	224.42	193.2	173.98	538.34	180.61
Smp_066610.1	1528.15	1334.07	597.24	822.3	499.79	345.58	219.03	91.96	147.7	141.45	141	132.01	274.44	140.15
Smp_066620.1	372.97	559.94	314.53	525.47	409.67	103.64	140.58	106.91	232.14	200.01	209.69	202.56	371.04	209.68
Smp_066630.1	689.71	675.22	224.83	234.69	186.63	163.98	141.5	105.93	118.94	114.92	115.02	101.63	245.31	110.67
Smp_066670.1	24.05	20.74	31.01	16.29	39.32	34.84	24.42	34.21	43.27	55.53	43.07	49.58	30.3	52.89
Smp_066730.1	19.99	21.4	156.31	282.16	191	98.71	76.51	47.35	147.87	147.65	142.13	156.1	202.37	169.97
Smp_066740.1	1246.46	896.62	269.62	372.11	255.08	174.93	51.88	56.62	228.91	238.73	226.28	216.58	432.1	197.84
Smp_066760.1	954.14	1185.29	419.87	425.91	321.01	517.94	509.86	184.05	239.62	241.25	252.16	279.49	212.99	297.36
Smp_066820.1	50.85	73.09	24.06	37.45	26.8	24.28	49.33	36.25	30.6	25.96	26.23	23.14	21.91	24.2
Smp_066830.1	30.54	52.52	39.11	36.42	18.87	11.88	49.33	44.66	31.75	29.62	29.68	26.12	58.9	30.7
Smp_066890.1	4592.91	4497.8	4180.21	5132.99	4001.64	805.34	988.19	1034.85	1298.86	1221.95	1271.23	1103.66	3808.74	1023.89
Smp_066900.1	42.94	23.92	38.68	46.86	63.66	27.46	45.03	24.32	25.34	21.67	20.68	15.84	41.34	14.71
Smp_066930.1	0.43	0	3.48	5.96	1.94	1.12	1.4	0.84	0.09	0.07	0.05	0.02	0	0.02
Smp_066940.1	3306.97	4235.4	4358.14	5318.47	3804.51	544	578.02	407.44	855.34	865.82	855.78	765.4	3073.37	728.45
Smp_066950.1	145.29	211.55	96.18	88.69	63.63	43.96	36.22	62.63	94	88.87	81.01	81.61	169.89	94.01
Smp_066950.2	34.73	44.02	0	9.94	12.15	13.3	5.41	9.47	16.96	12.04	14.35	14.15	24.91	16.5
Smp_066960.1	6.5	7.28	12.28	6.11	11.84	11.5	6.21	7.02	11.23	7.62	12.15	10.67	10.51	6.42
Smp_066960.2	140.75	140.85	87.16	75.74	93.38	54.83	40.42	57.59	83.03	83.71	80.23	80.46	135.36	96.98
Smp_066970.1	6.53	3.95	9.62	6.59	10	7.19	4.26	2.24	3.95	3.61	4.83	5.73	5.28	4.26
Smp_066990.1	12293.73	11223.21	5376.09	6717.41	4562.4	1505.46	1895.26	764.27	1515.77	1418.35	1456.98	1250.96	3756.9	1136.14
Smp_067000.1	127.59	55.5	93.92	51.44	62.56	135.26	158.44	120.19	79.51	71.19	75.1	86.84	43.88	109.21
Smp_067000.2	0	1.3	16.31	28.65	0.07	0	0	0.08	17.29	18.04	25.34	15.34	20.77	10.83
Smp_067000.3	18.48	1.85	0	0	7.77	34.01	44.62	43.76	20.17	25.61	29.82	39.95	10.04	54.83
Smp_067010.1	7.26	20.9	15.49	4.91	35.92	50.49	24.56	25	39.51	52.07	30.13	35.89	14.06	41.68
Smp_067010.2	0.28	0.4	1.43	0	2.63	2.94	3.46	5.69	13.52	12.3	17.51	19.75	2.82	8.9
Smp_067060.1	0	0	1.21	0	33.27	884.85	1319.79	1311.39	4592.1	2259.29	4333.33	3021.81	5115.64	2970.12
Smp_067090.1	12.02	11.28	182.66	199.33	175	17.73	40.41	49.78	67.35	62.82	57.32	57.35	80.35	57.37
Smp_067090.2	1.25	0.33	17.03	67.09	5.12	9.27	35.2	9.37	33.44	36.84	27.16	25.72	54.5	27.83
Smp_067140.1	84.22	52.54	66.25	67.48	48.9	209.43	230.26	164.16	88.63	93.95	97.56	110.68	71	121.92
Smp_067250.1	15.15	24.52	10.15	32.21	30.64	20.24	16.82	21.05	12.49	16.02	15.59	15.15	17.99	11.27
Smp_067250.2	1.3	8.14	23.75	0	9.81	9.55	18.77	11.56	18.02	13.16	14.21	13.76	13.15	15.18
Smp_067260.1	39.83	49.47	34.44	41.55	24.67	2.04	2.63	2.25	10.73	7.11	9.69	4.93	14.82	2.46
Smp_067280.1	115.94	153.43	31.56	36.53	30.03	73.89	55.22	51.33	39.99	38.77	40.37	39.99	44.32	41.67
Smp_067400.1	116.67	117.48	87.25	89.27	78.58	58.39	51.41	37.35	77.39	77.06	74.29	75.52	103.73	78.39
Smp_067420.1	348.21	399.23	43.54	62.8	29.78	91.04	48.62	38.04	47.76	38.17	45.21	37.11	77.98	39.62
Smp_067430.1	0.02	0	0	0.51	1.62	0.87	5.86	1.09	1.01	1.51	1.61	1.98	0.3	3.29
Smp_067480.1	66.82	56.84	150.38	148.85	192.37	329.12	448.42	238.18	120.42	129.86	131.68	143.4	127.81	152.11
Smp_067480.2	3.63	3.02	14.28	2.56	3.59	32.11	38.41	18.49	7.37	9.8	9.13	11	3.64	7.72
Smp_067490.1	183.45	154.64	153.03	179.73	170.21	260.35	386.86	120.63	58.23	60.39	78.43	80.65	84.46	86.16
Smp_067510.1	0.76	0.46	3.6	2.05	5.41	2.76	0.26	0.63	4.7	5.67	3.93	4.19	2.28	5.08
Smp_067520.1	9.75	16.44	17.79	29.53	15.64	11.09	82.95	33.29	24.91	26.89	14.17	16.87	9.12	19.17
Smp_067520.2	2.18	1.74	1.18	0.74	0.83	9.6	16.32	10.73	1.7	1.35	1.18	1.18	0.08	0.45
Smp_067540.1	17.07	7.66	37.7	40.37	42.2	53.88	29.3	17.06	22.19	33.82	25.5	34.69	20.07	37.64
Smp_067580.1	17.91	17.34	46.04	23.3	74.67	21.89	20.32	23.95	73.71	96.19	81.78	107.52	29.02	106.77
Smp_067590.1	60.68	54.44	60.16	59.11	39.95	24.45	28.85	49.96	46.7	60.18	45.61	54.18	50.58	65.11
Smp_067780.1	8.26	8.96	18.65	14.83	21.84	18.45	16.16	18.66	17.01	17.06	16.64	16.45	26.82	16.06
Smp_067810.1	408.58	406.8	98.54	102.46	83.69	160.81	243.65	131.5	122.04	121.07	119.4	120.93	133.16	127.31
Smp_067890.1	418.24	788.47	435.06	573.42	294.91	117.39	122.26	110.96	166.54	183.48	169.82	167.1	348.86	160.81
Smp_067900.1	195.85	243.07	160.13	119.01	116.61	57.59	94.54	176.59	185.74	209.55	204.2	223.66	219.53	251.59
Smp_067930.1	281.3	424.54	118.02	141.36	107.82	122.88	78.52	104.02	86.04	77.23	86.74	85.97	83.28	98.7
Smp_068000.1	1251.36	1063.66	320.72	325.62	387.34	891.78	449.5	217.66	389.98	390.8	412.72	450.82	646.96	502.94
Smp_068060.1	193.37	223.82	46.16	57.8	42.3	150.42	101.93	103.17	85.97	77.77	80.89	82.48	54.45	79.1
Smp_068070.1	63.82	131.94	69.98	71.49	71.65	25.59	57.95	65.05	66.01	59.49	66.38	58.07	75.78	48.5
Smp_068070.2	5.66	5.89	0	0	10.43	19	8.82	13.13	8.58	8.75	12.2	12.62	12.62	15.87
Smp_068100.1	260.21	256.13	62.97	60.46	46.29	68.73	50.95	30.94	40.52	39.54	36.55	35.15	60.6	36.77
Smp_068110.1	100.19	154.38	50.03	35.48	42.97	71.98	54.31	29.92	41.6	40.98	43.98	39.75	76.4	53.3
Smp_068120.1	64.79	47.73	24.16	15.16	28.17	65.29	52	23.94	25.17	25.54	21.55	23.59	22.82	25.19
Smp_068120.2	3.52	1.66	4.01	1.22	13.21	6.18	11.34	5.79	5.13	4.34	4.94	5.33	7.16	4.32
Smp_068120.3	0.95	0.15	0	0	0	0.48	3.27	0.36	1.55	1.28	1.2	1.18	0.11	0.18
Smp_068120.4	2.14	1.9	0	0	1.1	7.96	7.1	0.88	2.62	2.59	4.32	5.11	1.26	2.4
Smp_068170.1	54.22	46.83	26.53	27.43	29.66	74.45	45.12	36.6	46.14	62.24	58.27	74.98	27.04	93.53
Smp_068220.1	953.96	779.38	163.48	204.48	197.15	617.09	413.84	206.1	151.51	181.52	126.63	158.73	89.29	187.73
Smp_068240.1	1.69	0.46	7.51	7.03	10.9	2.66	14.33	10.09	14.07	19.63	12.95	16.89	2.69	14.46
Smp_068250.1	75.7	87.36	25.66	32.78	23.41	26.25	26.43	30.33	35.08	50.63	35.67	45.24	25.53	51.88
Smp_068250.2	0.73	1.81	1.77	0	4.49	0	0	0.06	0.34	0.93	0.63	0.53	0.58	0.41
Smp_068270.1	73	51.79	53.07	55	63.77	66.01	99.3	63.13	45.51	65.41	44.6	49.43	45.29	70.41
Smp_068270.2	147.64	134.67	80.54	49.6	63.42	118.61	69.51	56.52	41.25	44.71	44.3	51.53	36.64	49.35
Smp_068280.1	51.54	61.06	41.25	20.87	114.43	45.86	53.08	35.88	175.37	235.63	235.06	290.85	76.06	343.3
Smp_068300.1	75.07	49.21	76.56	56.22	62.81	34.9	41.58	44.98	36.08	41.79	33.18	39.84	49.9	46.82
Smp_068300.2	2.64	1.99	8.36	1.61	8.39	9.82	20.94	9.84	3.06	5.19	3.52	4.75	1.93	5.21
Smp_068340.1	211.85	294.64	103.21	122.05	99.65	97.34	111.69	163.32	179.82	196.97	195.75	218.32	206.91	256.12
Smp_068350.1	0.32	0.15	9.78	8.94	6.89	4.52	1.28	7.18	17.13	16.7	16.25	17.5	12	22.13
Smp_068420.1	394.06	642.27	227.18	337.9	231.15	125.07	61.3	16.78	110.66	101.89	102.67	98.63	227.15	98.1
Smp_068440.1	42.05	210.05	49.49	61.86	46.95	45.71	78.58	85.29	88.16	89.01	95.23	100.12	56.14	87.89
Smp_068480.1	177.94	126.31	0	12.17	15.67	126.43	109.68	90.04	70.01	74.58	77.93	84.69	62.81	84.91
Smp_068500.1	15.75	6.44	20.19	19.68	41.34	124.25	73.54	88.41	97.75	124.29	101.45	125.88	47.05	134.35
Smp_068510.1	6.35	42.54	23.69	23.43	17.11	3.47	5.95	20.75	53.2	70.05	75.19	88.12	18.01	78.58
Smp_068530.1	2.57	2.67	13.95	17.63	7.49	2.09	8.19	98.89	153.9	187.68	214.32	289.84	100.03	371.62
Smp_068580.1	139.65	143.37	38.98	73.17	49.72	46.96	43.34	39.65	46.87	42.11	40.86	39.09	106.7	45.08
Smp_068680.1	1.3	0.24	8.6	4.37	11.13	1.02	6.93	11.3	16.75	14.53	8.94	9.8	2.47	8.73
Smp_068710.1	2.16	2.89	21.13	23.28	16.38	1.12	1.26	2.28	9.01	8.12	12.05	10.51	22.55	9.6
Smp_068720.1	103.08	96.48	19.16	33.05	8.77	19.11	12.42	58.32	53.31	40.39	53.08	47.23	58.9	62.01
Smp_068750.1	2.14	3.55	2.71	0	3.51	0.16	0.73	2.36	1.94	1.86	1.38	1.13	0.76	0.88
Smp_068750.2	1.88	0.4	0	3.75	0.58	2.08	2.8	2.19	2.75	2.61	2.04	2.03	1.41	1.91
Smp_068760.1	162.06	169.69	93.66	75.07	81.54	34.09	18.04	21.93	73.22	68.74	75.34	77.1	92.43	84.79
Smp_068840.1	4.6	12.71	17.47	14.78	21.02	8.4	4.42	6.04	16.92	13.83	19.41	20.65	10.89	17.75
Smp_068840.2	1.34	1.06	0	0	1.11	0.39	0.31	0.35	1.26	1.12	0.84	1.9	0.65	1.21
Smp_068920.1	3531.91	2384.6	467.25	405.24	157.07	263.97	204.23	23.02	180.17	214.91	195.75	176.45	375.76	164.85
Smp_068920.2	36.93	2007.68	272.9	416.01	199.27	434.78	239.67	215.14	0	0	0	0	86.34	0
Smp_068950.1	143.71	128.05	145.15	73.55	89.85	248.65	184.77	99.9	61.28	72.09	61.64	65.71	60.61	76.74
Smp_068950.2	101.11	102.9	0	83.1	9.19	1.65	6.01	0.37	1.2	0.81	1.51	1.23	0	0.57
Smp_068960.1	32.8	25.71	33.8	10.72	40.91	55.58	16.46	16.05	16.08	20.99	22.16	28.85	5.36	16.46
Smp_068960.2	117.02	138.01	22.91	28.37	9.05	54.13	51.1	16.3	15	15.68	9.55	6.49	19.84	16.17
Smp_068990.1	21.76	15.36	7.29	10.21	12.32	42.47	35.02	28.97	18.63	16.99	20.34	17.07	15.78	15.33
Smp_069120.1	0.02	0.84	9.24	2.64	7.45	0.47	0.26	1.75	22.08	32.52	25.37	33.3	6.24	31.96
Smp_069130.1	1389.15	999.98	294.87	348.66	227.41	304.06	284.65	352.2	350.67	346.46	376.65	375.6	446.03	416.67
Smp_069130.2	911.91	722.93	25.03	17.69	0.82	81.02	99.52	136.22	108.07	100.49	111.86	99.31	2.44	40.57
Smp_069160.1	1372.25	1209.17	141.06	193.91	70.46	216.7	131.87	138.51	156.69	121.36	138.31	120.19	105.47	114.54
Smp_069170.1	36.5	115.78	78.4	136.45	52.44	74.16	71.5	33.26	27.92	30.52	31.8	36.55	17.17	27.97
Smp_069220.1	193.33	123	28.53	41.93	23.44	76.24	81.31	25.8	24.06	21.15	21.24	19.64	32.48	23.01
Smp_069240.1	3.87	5.43	8.45	0	9.59	6.12	18.08	30	36.18	47.51	41.01	51.18	13.28	57.77
Smp_069240.2	0.58	0.29	0	2.62	0	1.5	16.19	4.19	0.43	0.76	0.64	0.52	0	1.7
Smp_069380.1	1.51	2.71	0	0	0	4.49	0.88	3.48	1.51	1.54	0.71	3.14	0	1.27
Smp_069380.2	4.97	5.69	11.37	13.81	7.45	18.45	22.86	15.9	4.18	4.37	5.77	4.13	0.68	3.29
Smp_069380.3	1.69	2.91	0	0	0	1.56	2.02	6.83	2.68	2.1	2.49	1.67	1.78	0.68
Smp_069400.1	0.84	0.22	0	0	3.48	1.77	2.14	4.21	3.44	1.95	3.57	2.33	3.49	2.13
Smp_069600.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_069600.2	62.65	41.73	24.84	35.17	33.34	13.05	5.12	3.11	13.03	10.07	9.33	7.04	18.87	6.82
Smp_069720.1	0.02	0.07	0.29	0	1.89	0.54	2.82	1.55	1.32	2.14	1.76	2.6	0.41	2.21
Smp_069760.1	285.49	402.37	220.07	219.65	181.86	83.8	48.92	69.19	116.06	112.16	112.44	111.08	178.78	108.71
Smp_069770.1	157.02	221.46	125.3	185.12	261.62	408.87	72.5	44.78	162.88	163.5	163.32	168.65	222.93	155.5
Smp_069770.2	169.68	159.41	24.63	0	0	1.05	3.38	3.77	2.64	1.73	2.66	1.36	2.78	1.31
Smp_069810.1	32.42	18.82	35.07	23.38	41.61	52.18	61.31	52.27	30.82	31.53	32.97	33.48	38.6	40.81
Smp_069820.1	6.66	8.32	18.74	14.28	11.22	14.75	25.52	25.01	30.94	33.74	29.53	32.3	35.74	44.91
