transcript_id	miracidia	sporocyst_2d_invitro	sporocyst_1d_invivo	sporocyst_3d_invivo	sporocyst_shedder_invivo	cercariae	somule_3h	somule_24h	adult_m_21d	adult_f_21d	adult_m_28d	adult_f_28d	adult_m_38d	adult_f_38d
Smp_246800.3	0.8	2.12	3.3	1.88	2.74	4.37	24.28	31.9	11.2	11.76	11.54	11.74	4.7	9.26
Smp_246800.4	0.11	0.02	0	0	0.33	0.3	0.07	12.31	0.71	0.37	0.61	0.49	0.47	0.59
Smp_246820.1	1.36	3.2	26.4	76.5	116.98	28.62	27.69	85.98	53.04	60.29	14.65	16.67	1.73	14.5
Smp_246840.1	534.38	923.23	101.36	113.87	42.98	50.63	58.96	107.62	71.07	71.27	108.34	73.22	194.91	59.26
Smp_246850.1	7.67	11.85	0	0	0	0.33	0	1.39	0.2	0.51	0.63	0.2	0.18	0.08
Smp_246870.1	249.75	193.15	42.97	58.78	46.61	108.69	80.11	62.46	33.6	38.05	31.01	33.32	31.6	35.64
Smp_246880.1	1.47	0.79	2.17	1.07	3.17	7.56	1.55	2.03	4.53	5.73	5.01	5.35	2.14	5.21
Smp_246890.1	2.87	3	5.95	2.62	4.88	2.28	12.18	11.42	8.05	8.48	8.07	7.31	6.42	7.54
Smp_246900.1	64.74	99.87	64.11	64.85	32.92	13.31	14.09	22.13	17.43	16.89	15.07	12.45	36.4	13.81
Smp_246920.1	25.85	15.82	13.48	16.64	12.3	46.55	57.06	23.61	13.17	11	12.74	11.64	9.29	9.08
Smp_246940.1	0.13	0.18	0	2.09	0.96	1.51	1.79	3.47	5.16	7.34	6.19	7.34	1.41	6.19
Smp_246940.2	0	0	2.84	0	3.93	0	0	0.1	0	0	0	0	0.82	0.11
Smp_246950.1	20.68	18.29	6.4	7.31	8.91	48.43	33.75	29.13	13.05	12.88	16.89	16.52	11.14	18.29
Smp_246950.2	0.95	0.53	0	0	0	1.58	0.92	2.92	0.81	0.61	0.38	0.8	0	0.76
Smp_246970.1	0.37	0.11	0	0	0.45	3.39	9.54	27.42	2.31	2.53	2.74	2.59	0.68	1.75
Smp_246970.2	8.45	2.38	1.8	1.77	5.91	6.66	11.98	9.77	3.79	2.65	3.61	2.89	2.25	3.11
Smp_246970.3	0	0	0	0	0	0.07	0.1	0.66	0.09	0.1	0.04	0.08	0.17	0.08
Smp_246990.1	134.09	234.75	182.26	111.86	132.38	78.05	64.17	54.59	65.63	58.78	61.57	58.51	123.8	59.77
Smp_246990.2	10.55	9.03	10.94	29.66	13.67	4.07	13.49	5.35	9.11	6.22	5.72	7.27	9.8	7.41
Smp_247020.1	3381.87	4673.1	683.17	1362.57	473	6891.9	2220.35	136.58	627.7	484.33	510.72	490.73	666.38	447.1
Smp_247020.2	3381.87	4673.1	683.17	1362.57	473	6891.9	2220.35	136.58	627.7	484.33	510.72	490.73	666.38	447.1
Smp_247030.1	1.1	0.18	3.21	2.45	9.34	4.99	6.97	20.62	20.75	20.71	19.68	22.61	5.73	19.33
Smp_247030.2	0.04	0	0	0	0	0	0	0.84	0.13	0	0.03	0.2	0	0
Smp_247050.1	0	0	0	0	428.7	1.14	6.29	0	0	0	0	0	0	0
Smp_247070.1	0	0.22	12.53	36.36	48.86	0	0.04	0.04	7.74	0.4	11.81	2.33	26.54	0.2
Smp_247080.1	0.82	0.51	0	0	0.11	1.23	2.63	0.06	0.31	0.29	1.58	2.16	4.7	2.18
Smp_247150.1	97.76	140.41	60.01	53.34	35.07	31.6	45.96	56.51	39.65	41.42	42.36	38.04	79.41	36.8
Smp_247150.2	97.76	140.41	60.01	53.34	35.07	31.6	45.96	56.51	39.65	41.42	42.36	38.04	79.41	36.8
Smp_247160.1	1.69	2.82	2.31	5.19	1.23	3.77	6.54	7.9	4.22	3.95	5.22	4.72	1.59	3.18
